,C,err_train,err_val,time
0,0.001,0.07609999999999995,0.06910000000000005,973.0499017238617
1,0.01,0.05593999999999999,0.05630000000000002,466.177410364151
2,0.1,0.04188000000000003,0.051899999999999946,342.18989634513855
3,1,0.02754000000000001,0.057699999999999974,419.71564054489136
4,10,0.016920000000000046,0.0716,585.9512689113617
5,100,0.013000000000000012,0.07769999999999999,1401.883348941803
0,0.1,0.04188000000000003,0.051899999999999946,345.5276298522949
1,0.2,0.03752,0.05369999999999997,352.20339584350586
2,0.3,0.03508,0.0534,363.41804671287537
3,0.4,0.03310000000000002,0.055400000000000005,373.2905445098877
4,0.5,0.031460000000000043,0.055499999999999994,383.64319252967834
5,0.6,0.030460000000000043,0.05559999999999998,392.33940291404724
6,0.7,0.02946000000000004,0.05589999999999995,399.7034423351288
7,0.8,0.02868000000000004,0.05610000000000004,405.8645210266113
8,0.9,0.027959999999999985,0.05689999999999995,412.83735370635986
0,0.02,0.05134000000000005,0.054200000000000026,403.3336515426636
1,0.03,0.04901999999999995,0.05259999999999998,376.0936357975006
2,0.04,0.04693999999999998,0.0524,362.4955587387085
0,0.05,0.04576000000000002,0.052000000000000046,340.93689584732056
1,0.06,0.04474,0.05269999999999997,336.69879388809204
2,0.07,0.04368000000000005,0.05279999999999996,334.11593985557556
3,0.08,0.043179999999999996,0.052200000000000024,330.908718585968
4,0.09,0.04239999999999999,0.052000000000000046,331.8046615123749
