,C,err_train,err_val,time
0,0.001,0.07609999999999995,0.06910000000000005,973.0499017238617
1,0.01,0.05593999999999999,0.056300000000000024,466.177410364151
2,0.02,0.05134000000000005,0.054200000000000026,403.33365154266363
3,0.03,0.04901999999999995,0.05259999999999998,376.0936357975006
4,0.04,0.04693999999999998,0.0524,362.4955587387085
5,0.05,0.045760000000000016,0.05200000000000005,340.93689584732056
6,0.06,0.044739999999999995,0.05269999999999997,336.6987938880921
7,0.07,0.04368000000000005,0.052799999999999965,334.1159398555756
8,0.08,0.04318,0.05220000000000002,330.908718585968
9,0.09,0.042399999999999986,0.05200000000000005,331.8046615123749
10,0.1,0.04188000000000003,0.051899999999999946,342.1898963451385
11,0.2,0.03752,0.05369999999999997,352.2033958435058
12,0.3,0.03508,0.0534,363.41804671287537
13,0.4,0.03310000000000002,0.055400000000000005,373.2905445098877
14,0.5,0.031460000000000043,0.0555,383.64319252967834
15,0.6,0.030460000000000043,0.05559999999999998,392.3394029140472
16,0.7,0.029460000000000038,0.05589999999999995,399.7034423351288
17,0.8,0.02868000000000004,0.05610000000000004,405.8645210266113
18,0.9,0.027959999999999985,0.05689999999999995,412.8373537063599
19,1.0,0.02754000000000001,0.05769999999999996,419.71564054489136
20,10.0,0.016920000000000046,0.0716,585.9512689113618
21,100.0,0.013000000000000013,0.07769999999999999,1401.883348941803
